sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
103BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	100	0	TP	BF2 + BR1	yes	6	iboundji	3	103BF2
98BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	122	0	TP	BF2 + BR1	yes	6	iboundji	3	98BF2
45BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	98	0	BP	BF2 + BR1	yes	1	mengono	1	45BF2
412BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	100	1	TP	BF2 + BR1	yes	1	apassa	1	412BF2
316BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae TP	P. kingsleyae	2019-022	bambomo	female	72	0	TP	BF2 + BR1	yes	1	bambomo	1	316BF2
276BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	0	TP	BF2 + BR1	yes	1	apassa	1	276BF2
365BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	70	0	BP	BF2 + BR1	yes	1	bambomo	1	365BF2
45BP_BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	98	0	BP	BF2 + BR1	yes	1	mengono	1	45BP_BF2
412BP_BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	100	1	TP	BF2 + BR1	yes	1	apassa	1	412BP_BF2
316BP_BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae TP	P. kingsleyae	2019-022	bambomo	female	72	0	TP	BF2 + BR1	yes	1	bambomo	1	316BP_BF2
276BP_BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	0	TP	BF2 + BR1	yes	1	apassa	1	276BP_BF2
365BP_BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	70	0	BP	BF2 + BR1	yes	1	bambomo	1	365BP_BF2
243BF2rep	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	160	0	BP	BF2+BR1	yes	6	above_falls	3	243BF2rep
464BF2rep	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	NA	68	NA	TP	BF2+BR1	yes	6	bale	3	464BF2rep
219BF2rep	Paramormyrops	P. ngounensis below_falls	P. ngounensis BP	P. ngounensis	2019-015	below_falls	NA	150	0	BP	BF2+BR1	yes	6	below_falls	3	219BF2rep
311BF2rep	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	male	106	0	BP	BF2+BR1	yes	6	bambomo	3	311BF2rep
124BF2rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	93	1	TP	BF2+BR1	yes	6	iboundji	3	124BF2rep
475BF2rep	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	49	0	TP	BF2+BR1	yes	6	bale	3	475BF2rep
315BF2rep	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	female	73	0	BP	BF2+BR1	yes	6	bambomo	3	315BF2rep
156BF2rep	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	72	0	BP	BF2+BR1	yes	6	bambomo	3	156BF2rep
