sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
449BF2	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	juvenile	73	NA	TP	BF2+BR1	yes	3	bale	2	449BF2
452BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	71	NA	TP	BF2+BR1	yes	3	bale	2	452BF2
459BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	69	0	TP	BF2+BR1	yes	3	bale	2	459BF2
477BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	NA	TP	BF2+BR1	yes	3	bale	2	477BF2
485BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	39	0	TP	BF2+BR1	yes	3	bale	2	485BF2
516BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	49	NA	BP	BF2+BR1	yes	3	bale	2	516BF2
262BF2	Mormyrops	Mormyrops zanchlirostris bengue	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-020	bengue	male	78	0	BP	BF2+BR1	yes	3	bengue	2	262BF2
43BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	83	0	BP	BF2+BR1	yes	3	mengono	2	43BF2
46BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	84	0	BP	BF2+BR1	yes	3	mengono	2	46BF2
50BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	89	1	BP	BF2+BR1	yes	3	mengono	2	50BF2
235BF2	Paramormyrops	P. ngounensis below_falls	P. ngounensis BP	P. ngounensis	2019-015	below_falls	female	NA	0	BP	BF2+BR1	yes	3	below_falls	2	235BF2
240BF2	Paramormyrops	P. offouensis above_falls	P. offouensis BP	P. offouensis	2019-019	above_falls	male	148	0	BP	BF2+BR1	yes	3	above_falls	2	240BF2
245BF2	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	157	0	BP	BF2+BR1	yes	3	above_falls	2	245BF2
312BF2	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	NA	91	0	BP	BF2+BR1	yes	3	bambomo	2	312BF2
315BF2	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	female	73	0	BP	BF2+BR1	yes	3	bambomo	2	315BF2
323BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	88	2	BP	BF2+BR1	yes	3	bambomo	2	323BF2
363BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	67	1	BP	BF2+BR1	yes	3	bambomo	2	363BF2
