sampleid	genus	species_river	species_waveform	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical categorical numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
409	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	77	1	TP	mlCOIintF+BR2	yes	1	apassa	2	409
414	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	64	0	TP	mlCOIintF+BR2	yes	1	apassa	2	414
441	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	male	64	NA	BP	mlCOIintF+BR2	yes	1	bale	2	441
447	Paramormyrops	P. hopkinsi bale	P. hopkinsi BP	P. hopkinsi	2019-026	bale	juvenile	60	NA	BP	mlCOIintF+BR2	yes	1	bale	2	447
449	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	juvenile	73	NA	TP	mlCOIintF+BR2	yes	1	bale	2	449
452	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	71	NA	TP	mlCOIintF+BR2	yes	1	bale	2	452
459	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	69	0	TP	mlCOIintF+BR2	yes	1	bale	2	459
477	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	NA	TP	mlCOIintF+BR2	yes	1	bale	2	477
485	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	39	0	TP	mlCOIintF+BR2	yes	1	bale	2	485
516	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	49	NA	BP	mlCOIintF+BR2	yes	1	bale	2	516
43	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	83	0	BP	mlCOIintF+BR2	yes	1	mengono	2	43
46	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	84	0	BP	mlCOIintF+BR2	yes	1	mengono	2	46
50	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	89	1	BP	mlCOIintF+BR2	yes	1	mengono	2	50
86	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	120	0	BP	mlCOIintF+BR2	no	1	mengono	2	86
99	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	111	0	TP	mlCOIintF+BR2	no	1	iboundji	2	99
105	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	86	0	TP	mlCOIintF+BR2	no	1	iboundji	2	105
108	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	90	0	TP	mlCOIintF+BR2	no	1	iboundji	2	108
111	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	90	0	TP	mlCOIintF+BR2	no	1	iboundji	2	111
217	Paramormyrops	P. offouensis below_falls	P. offouensis BP	P. offouensis	2019-015	below_falls	male	NA	0	BP	mlCOIintF+BR2	yes	1	below_falls	2	217
223	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	98	0	BP	mlCOIintF+BR2	yes	1	bambomo	2	223
235	Paramormyrops	P. ngounensis below_falls	P. ngounensis BP	P. ngounensis	2019-015	below_falls	female	NA	0	BP	mlCOIintF+BR2	yes	1	below_falls	2	235
240	Paramormyrops	P. offouensis above_falls	P. offouensis BP	P. offouensis	2019-019	above_falls	male	148	0	BP	mlCOIintF+BR2	yes	1	above_falls	2	240
245	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	157	0	BP	mlCOIintF+BR2	yes	1	above_falls	2	245
312	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	NA	91	0	BP	mlCOIintF+BR2	yes	1	bambomo	2	312
315	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	female	73	0	BP	mlCOIintF+BR2	yes	1	bambomo	2	315
323	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	88	2	BP	mlCOIintF+BR2	yes	1	bambomo	2	323
363	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	67	1	BP	mlCOIintF+BR2	yes	1	bambomo	2	363
406	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	119	1	TP	mlCOIintF+BR2	yes	1	apassa	2	406
431	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	NA	85	0	TP	mlCOIintF+BR2	yes	1	bale	2	431
432	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	female	74	0	TP	mlCOIintF+BR2	yes	1	bale	2	432
438	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	42	NA	TP	mlCOIintF+BR2	yes	1	bale	2	438
450	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	male	86	NA	TP	mlCOIintF+BR2	no	1	bale	2	450
454	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	juvenile	70	NA	TP	mlCOIintF+BR2	yes	1	bale	2	454
473	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	male	101	0	BP	mlCOIintF+BR2	yes	1	bale	2	473
475	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	49	0	TP	mlCOIintF+BR2	yes	1	bale	2	475
502	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	NA	125	0	TP	mlCOIintF+BR2	yes	1	bale	2	502
515	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	54	NA	BP	mlCOIintF+BR2	yes	1	bale	2	515
